gender,age,height,weight,bust_circumference,waist_circumference,hip_circumference,bmi
F,32,1626,48.3,780,645,891,18.27
F,34,1607,56.9,919,862,999,22.03
M,16,1651,51.4,786,695,861,18.86
M,16,1773,61.7,810,674,874,19.63
M,44,1691,71.7,935,923,949,25.07
M,29,1702,66.7,912,819,881,23.03
F,67,1523,60.1,935,835,921,25.91
F,17,1724,60.5,856,673,942,20.36
M,33,1682,93.7,1126,1036,1102,33.12
M,17,1754,60.9,830,704,923,19.8
M,47,1746,78.8,976,891,1005,25.85
M,66,1633,53.6,833,718,868,20.1
M,17,1758,59.0,832,670,899,19.09
F,57,1568,48.5,795,705,867,19.73
M,53,1730,79.2,967,970,974,26.46
F,49,1618,63.5,957,825,980,24.26
M,16,1795,59.4,800,694,920,18.44
M,17,1740,68.5,868,788,970,22.63
F,16,1605,60.5,925,726,935,23.49
F,54,1545,61.4,955,886,940,25.72
F,21,1587,75.6,970,907,1025,30.02
F,19,1589,50.4,796,675,885,19.96
F,19,1627,49.5,806,635,868,18.7
M,22,1780,73.9,895,783,895,23.32
M,20,1655,55.6,835,700,855,20.3
M,22,1688,65.6,905,730,900,23.02
M,30,1668,78.8,971,920,1016,28.32
M,30,1725,76.2,969,821,970,25.61
M,17,1701,60.3,851,700,876,20.84
M,36,1643,84.2,1018,965,1064,31.19
M,16,1700,71.2,900,771,1002,24.64
M,16,1655,60.3,841,695,905,22.02
M,62,1681,67.0,958,811,911,23.71
M,36,1770,74.2,904,791,967,23.68
F,50,1561,71.5,1021,911,1001,29.34
M,42,1698,67.4,872,819,946,23.38
F,23,1621,61.6,864,784,955,23.44
F,16,1542,49.2,791,735,871,20.69
F,39,1621,57.6,842,782,964,21.92
F,24,1575,49.4,845,648,860,19.91
M,25,1875,69.5,876,772,972,19.77
F,37,1581,51.9,788,695,931,20.76
F,34,1652,51.1,810,640,890,18.72
F,42,1590,79.7,1075,972,1005,31.53
F,43,1448,41.1,816,705,831,19.6
F,36,1593,49.4,797,670,886,19.47
F,23,1645,51.8,825,695,866,19.14
M,25,1705,57.9,817,720,872,19.92
F,53,1535,51.9,829,798,921,22.03
F,53,1539,47.5,805,700,862,20.05
F,24,1607,57.7,928,744,940,22.34
M,41,1755,78.0,989,843,980,25.32
M,17,1725,72.1,935,835,977,24.23
F,54,1538,48.6,848,740,883,20.55
M,22,1708,56.7,803,707,872,19.44
F,33,1614,60.0,857,750,970,23.03
F,18,1568,53.2,835,680,922,21.64
F,16,1688,60.9,885,705,945,21.37
M,34,1715,78.7,932,875,1002,26.76
F,57,1520,54.6,916,738,886,23.63
M,20,1675,59.5,832,734,891,21.21
M,28,1675,68.9,913,809,944,24.56
F,51,1686,80.7,1024,941,1025,28.39
M,26,1757,90.0,1054,956,1032,29.15
F,16,1651,64.1,895,720,963,23.52
M,16,1684,60.7,783,699,924,21.4
M,18,1670,51.6,740,678,850,18.5
F,60,1547,53.6,864,793,930,22.4
M,18,1770,63.7,805,735,922,20.33
F,16,1499,52.2,831,730,921,23.23
F,19,1619,71.4,1012,855,1021,27.24
M,22,1767,56.9,820,658,834,18.22
M,16,1697,53.8,757,664,841,18.68
F,21,1562,59.6,910,752,966,24.43
M,26,1695,70.5,957,840,971,24.54
F,51,1626,65.1,950,790,1000,24.62
M,23,1781,93.5,1085,946,1071,29.48
F,17,1638,61.4,851,710,1001,22.88
F,16,1548,49.9,802,690,884,20.82
M,28,1784,76.1,906,832,976,23.91
F,16,1572,48.1,770,640,870,19.46
M,17,1783,76.3,950,840,1005,24.0
F,34,1600,55.6,850,721,935,21.72
F,56,1575,65.4,910,774,995,26.36
F,39,1640,64.6,915,773,987,24.02
M,24,1735,66.7,894,748,929,22.16
F,19,1564,60.8,905,786,952,24.86
F,27,1611,43.7,746,669,852,16.84
M,38,1729,81.6,1018,920,1003,27.3
M,37,1747,74.3,936,943,931,24.34
F,28,1628,58.4,887,758,926,22.03
F,16,1647,52.4,788,660,900,19.32
F,25,1680,53.8,798,720,892,19.06
M,23,1763,68.2,891,735,905,21.94
F,60,1615,63.4,915,794,961,24.31
M,18,1714,63.8,844,716,871,21.72
M,16,1734,58.1,796,665,885,19.32
M,18,1704,60.9,825,681,877,20.97
M,16,1769,70.4,880,765,975,22.5
M,38,1784,62.7,849,770,895,19.7
F,19,1503,57.1,885,803,925,25.28
F,22,1645,56.8,805,775,961,20.99
F,36,1664,87.6,1019,860,1121,31.64
F,25,1703,65.7,881,742,1006,22.65
M,61,1623,67.3,955,892,957,25.55
M,34,1680,55.6,812,680,845,19.7
F,20,1599,49.8,808,693,905,19.48
M,31,1735,84.9,1025,960,1042,28.2
M,19,1790,72.0,891,842,987,22.47
M,19,1740,61.1,885,756,940,20.18
M,31,1625,67.2,920,832,940,25.45
M,23,1784,88.8,1018,885,1072,27.9
F,64,1611,67.9,1018,895,945,26.16
F,33,1590,54.7,840,791,925,21.64
F,52,1605,67.6,1025,951,971,26.24
M,57,1616,67.2,963,831,942,25.73
F,50,1522,60.4,991,815,901,26.07
M,47,1744,77.2,993,902,1010,25.38
F,33,1678,60.6,870,798,945,21.52
M,18,1794,97.4,1078,978,1142,30.26
M,25,1730,68.3,870,757,941,22.82
F,22,1685,56.1,850,702,937,19.76
M,31,1837,82.9,988,880,1042,24.57
M,53,1624,65.8,906,881,897,24.95
F,32,1547,60.3,923,880,996,25.2
M,65,1639,86.4,1101,1110,999,32.16
F,19,1581,47.3,846,657,847,18.92
M,22,1695,56.9,883,695,846,19.8
F,16,1523,65.1,984,817,981,28.07
F,16,1586,53.2,820,710,894,21.15
M,24,1830,129.7,1269,1235,1201,38.73
F,45,1505,49.0,815,717,884,21.63
F,17,1506,52.0,851,721,889,22.93
F,17,1614,48.0,740,629,874,18.43
F,23,1646,47.5,699,600,889,17.53
F,19,1600,47.4,742,647,860,18.52
M,19,1685,63.7,866,768,965,22.44
M,31,1777,92.5,1050,990,1065,29.29
F,38,1620,51.7,845,726,890,19.7
F,18,1604,57.5,856,740,966,22.35
M,36,1858,67.5,920,757,902,19.55
F,61,1575,46.6,776,721,870,18.79
M,18,1684,75.2,941,899,985,26.52
F,34,1649,54.8,855,710,890,20.15
M,24,1769,61.4,871,695,881,19.62
F,41,1521,63.5,972,910,974,27.45
F,17,1620,61.8,861,720,971,23.55
M,20,1686,68.9,875,787,993,24.24
F,37,1669,53.5,825,678,882,19.21
F,25,1607,55.1,840,682,905,21.34
F,36,1571,52.0,840,735,894,21.07
F,38,1610,49.5,790,659,870,19.1
F,64,1591,66.0,982,941,935,26.07
M,23,1758,74.3,970,895,987,24.04
M,42,1792,77.0,930,862,963,23.98
M,16,1741,64.8,843,704,950,21.38
F,30,1604,62.3,945,792,987,24.21
M,38,1785,84.0,1005,871,996,26.36
F,45,1590,67.0,968,865,990,26.5
M,28,1864,99.9,1035,935,1132,28.75
F,51,1515,55.5,884,790,945,24.18
M,23,1815,60.4,837,720,850,18.34
M,33,1794,88.6,1040,925,1020,27.53
M,16,1641,58.3,767,720,900,21.65
M,37,1715,81.1,1004,886,1013,27.57
F,40,1646,59.2,811,740,951,21.85
F,18,1590,45.5,781,630,861,18.0
F,44,1540,57.1,908,820,930,24.08
F,34,1601,56.8,874,708,940,22.16
F,29,1715,62.8,912,735,957,21.35
F,18,1686,61.3,891,790,961,21.56
F,18,1661,61.0,870,700,970,22.11
M,32,1759,82.5,1008,916,1005,26.66
F,44,1585,67.3,925,826,1005,26.79
F,33,1565,64.4,945,855,964,26.29
F,54,1495,49.7,850,770,871,22.24
M,39,1628,67.4,902,853,944,25.43
M,18,1734,69.5,879,786,926,23.11
M,16,1723,76.8,912,824,1006,25.87
F,34,1597,57.0,889,768,904,22.35
M,63,1610,59.4,918,779,854,22.92
M,22,1717,80.7,975,855,1032,27.37
F,20,1515,46.0,756,645,880,20.04
F,16,1585,48.4,770,634,876,19.27
F,27,1628,58.3,865,745,934,22.0
M,52,1675,78.7,1002,954,955,28.05
M,61,1688,76.1,981,932,942,26.71
F,56,1568,58.2,868,750,973,23.67
M,62,1646,70.0,960,906,947,25.84
M,35,1779,80.4,1032,852,972,25.4
F,66,1562,60.9,915,814,982,24.96
F,18,1665,55.7,799,700,940,20.09
M,33,1717,66.5,906,765,930,22.56
F,28,1616,48.0,804,651,881,18.38
F,26,1600,58.9,905,815,955,23.01
M,63,1702,84.9,1065,1003,998,29.31
M,35,1815,50.6,1055,930,1046,15.36
M,17,1651,47.6,775,640,848,17.46
F,61,1595,69.6,950,880,1012,27.36
M,53,1605,45.2,782,685,806,17.55
F,68,1515,72.8,1034,1000,1000,31.72
F,42,1620,88.2,1054,975,1081,33.61
F,47,1592,60.0,945,821,920,23.67
M,20,1757,69.1,870,740,940,22.38
M,16,1785,64.9,865,704,926,20.37
F,47,1588,63.5,967,875,925,25.18
M,19,1735,76.4,885,833,990,25.38
M,39,1717,71.1,938,864,940,24.12
F,18,1602,58.3,921,711,926,22.72
M,17,1684,81.4,957,813,1069,28.7
M,22,1752,84.5,998,852,1024,27.53
M,16,1788,63.3,810,705,925,19.8
M,17,1660,71.1,915,820,950,25.8
F,20,1686,54.2,788,710,941,19.07
M,39,1813,75.7,915,790,986,23.03
M,54,1625,63.8,893,790,920,24.16
F,22,1551,49.4,811,661,891,20.54
M,36,1753,75.4,921,856,949,24.54
F,60,1515,57.9,979,812,904,25.23
F,52,1525,56.0,936,841,891,24.08
F,32,1570,57.5,864,711,1020,23.33
M,22,1630,60.3,852,754,940,22.7
F,49,1545,46.0,775,655,871,19.27
F,18,1560,62.6,941,810,935,25.72
F,34,1717,83.0,932,877,1122,28.15
F,58,1525,50.1,881,795,855,21.54
F,16,1601,61.9,954,756,950,24.15
M,24,1804,78.7,990,881,975,24.18
F,24,1642,54.0,825,660,911,20.03
F,63,1550,61.2,983,860,950,25.47
M,17,1840,73.2,880,760,960,21.62
M,32,1785,65.5,875,717,932,20.56
M,16,1793,63.0,804,708,914,19.6
F,16,1653,61.3,838,727,985,22.43
M,26,1624,85.3,997,976,1033,32.34
M,37,1711,66.8,919,771,930,22.82
F,19,1625,54.6,825,664,954,20.68
F,47,1555,59.9,911,808,930,24.77
M,33,1685,61.3,883,727,890,21.59
F,37,1616,49.0,860,640,871,18.76
M,25,1773,75.3,1010,800,940,23.95
F,16,1582,52.4,850,705,922,20.94
F,22,1585,55.1,831,714,925,21.93
F,16,1468,62.5,936,862,981,29.0
F,17,1555,53.5,873,712,966,22.13
M,16,1627,51.0,788,668,880,19.27
F,25,1570,54.8,885,750,927,22.23
F,38,1560,56.7,869,730,940,23.3
F,29,1583,47.6,765,630,863,19.0
F,51,1583,57.0,895,784,945,22.75
F,36,1570,58.4,902,802,891,23.69
M,30,1720,70.7,904,807,985,23.9
F,55,1447,56.6,953,915,929,27.03
M,38,1682,83.1,1020,964,991,29.37
F,17,1558,49.7,823,643,875,20.47
F,18,1575,65.9,944,877,1010,26.57
M,28,1732,77.1,954,825,990,25.7
F,31,1593,54.7,855,720,915,21.56
M,25,1683,71.7,942,844,976,25.31
M,20,1732,66.3,850,745,930,22.1
F,20,1620,47.3,746,668,856,18.02
F,44,1593,61.2,915,815,993,24.12
M,20,1693,70.0,905,778,966,24.42
F,25,1584,45.8,756,651,888,18.25
M,32,1805,92.2,1040,981,1030,28.3
M,22,1744,65.3,875,752,935,21.47
F,46,1568,50.1,828,714,880,20.38
M,42,1769,77.7,943,780,995,24.83
F,31,1648,63.9,959,832,992,23.53
M,29,1735,60.3,920,753,876,20.03
F,57,1545,58.8,904,832,942,24.63
M,62,1604,69.2,980,895,950,26.9
M,26,1685,71.3,916,782,947,25.11
F,44,1658,53.1,816,688,885,19.32
M,18,1717,68.5,906,754,916,23.24
M,43,1620,60.8,895,760,905,23.17
M,16,1768,61.3,820,685,900,19.61
F,33,1619,49.3,798,644,900,18.81
M,36,1689,82.4,1037,951,974,28.88
F,17,1662,65.8,952,725,980,23.82
M,23,1725,67.4,942,797,930,22.65
F,27,1541,49.1,800,673,920,20.68
F,38,1650,53.8,813,700,890,19.76
F,47,1573,53.2,890,735,902,21.5
F,27,1685,62.2,821,730,975,21.91
F,62,1544,56.3,942,880,943,23.62
M,38,1758,70.9,915,801,937,22.94
F,27,1584,52.7,812,722,960,21.0
M,20,1730,59.5,843,691,910,19.88
F,18,1561,56.0,861,749,945,22.98
M,23,1827,81.0,980,793,985,24.27
F,28,1636,66.8,855,775,1040,24.96
F,30,1628,45.3,766,644,851,17.09
F,18,1520,48.2,796,642,898,20.86
M,27,1770,74.1,967,786,973,23.65
M,24,1760,79.6,1002,821,1002,25.7
M,18,1907,88.7,952,830,1045,24.39
F,17,1606,56.7,826,721,940,21.98
F,34,1549,53.5,825,750,960,22.3
M,21,1724,61.3,890,720,874,20.62
M,16,1721,60.1,865,700,910,20.29
M,38,1735,54.3,793,715,823,18.04
F,22,1665,63.9,935,820,950,23.05
F,59,1581,59.4,890,825,962,23.76
F,17,1639,51.8,796,651,886,19.28
M,38,1624,55.1,848,714,878,20.89
F,28,1560,50.5,837,705,901,20.75
F,23,1605,54.4,833,719,933,21.12
F,36,1629,72.5,940,821,1051,27.32
F,53,1533,47.0,833,733,845,20.0
M,30,1610,64.0,885,778,931,24.69
F,47,1637,78.5,1076,935,1001,29.29
M,21,1824,65.8,880,740,915,19.78
M,34,1675,71.3,935,861,941,25.41
F,18,1560,55.8,890,690,933,22.93
F,18,1699,71.6,895,831,1005,24.8
F,23,1512,44.5,770,620,824,19.47
M,16,1675,59.4,842,715,881,21.17
M,22,1799,63.6,884,685,905,19.65
M,32,1756,81.5,1054,861,995,26.43
F,17,1551,61.7,941,840,999,25.65
F,17,1601,55.2,880,723,916,21.54
M,16,1653,59.3,884,706,900,21.7
M,37,1633,57.7,900,749,842,21.64
F,20,1655,48.1,814,671,845,17.56
M,28,1688,66.5,895,844,956,23.34
M,25,1700,67.2,876,813,955,23.25
F,16,1643,51.5,795,643,896,19.08
F,65,1478,60.8,984,910,925,27.83
M,28,1655,71.9,927,884,988,26.25
M,32,1798,79.7,943,758,976,24.65
F,48,1492,51.0,814,735,930,22.91
F,27,1612,54.2,814,725,932,20.86
F,34,1574,69.6,915,905,1059,28.09
F,21,1555,56.3,860,740,972,23.28
F,23,1627,58.8,860,720,1002,22.21
F,20,1614,42.3,735,635,815,16.24
F,16,1687,57.1,800,670,905,20.06
F,36,1675,59.9,903,755,930,21.35
F,43,1669,85.6,1090,985,1053,30.73
M,17,1752,71.6,920,780,975,23.33
F,17,1538,56.2,935,775,925,23.76
M,23,1790,88.2,1008,920,1062,27.53
M,20,1606,75.2,969,934,1051,29.16
M,27,1734,76.9,1012,825,978,25.58
M,23,1793,64.3,858,763,911,20.0
F,27,1600,83.4,1154,1053,1001,32.58
M,64,1560,58.1,913,821,883,23.87
M,47,1691,70.3,930,842,950,24.58
F,38,1593,50.0,783,676,916,19.7
M,17,1733,75.7,934,805,946,25.21
F,27,1540,58.4,926,751,962,24.62
F,26,1597,61.2,872,760,963,24.0
M,19,1724,59.4,842,748,902,19.99
F,36,1646,55.4,853,673,912,20.45
F,32,1647,49.5,766,632,875,18.25
F,17,1507,43.5,765,610,850,19.15
M,30,1825,91.7,1024,859,1028,27.53
F,34,1608,48.0,765,621,884,18.56
M,18,1675,73.5,924,773,990,26.2
M,18,1753,60.6,802,684,840,19.72
M,16,1561,62.7,923,841,916,25.73
F,46,1498,49.3,831,810,909,21.97
M,20,1703,86.2,1050,940,1040,29.72
F,21,1610,50.2,773,650,890,19.37
M,48,1658,75.8,972,913,972,27.57
F,39,1577,57.0,865,740,948,22.92
F,23,1555,41.6,735,600,791,17.2
M,19,1670,66.6,875,786,912,23.88
M,18,1660,52.7,793,657,846,19.12
F,34,1504,52.6,824,740,931,23.25
M,19,1711,53.0,800,700,842,18.1
F,35,1599,61.9,887,796,930,24.21
F,57,1403,53.2,941,864,870,27.03
F,16,1600,55.1,882,667,915,21.52
F,39,1672,68.5,965,900,964,24.5
M,19,1770,61.5,880,693,907,19.63
M,17,1815,62.8,827,690,895,19.06
F,36,1554,49.0,800,725,855,20.29
M,16,1715,65.1,845,735,927,22.13
F,36,1532,52.7,885,767,895,22.45
M,16,1677,50.4,800,685,838,17.92
F,57,1496,75.1,1067,1031,1071,33.56
F,33,1600,55.6,865,735,905,21.72
F,36,1705,61.5,857,720,928,21.16
F,53,1505,54.0,852,805,923,23.84
F,16,1575,51.0,801,645,901,20.56
F,28,1704,88.2,1065,980,1057,30.38
M,19,1650,53.3,815,681,850,19.58
M,16,1706,58.4,800,705,911,20.07
M,17,1784,77.7,972,820,996,24.41
F,44,1700,75.4,1021,881,1000,26.09
F,26,1645,54.5,825,692,925,20.14
F,17,1496,48.8,802,685,907,21.81
M,63,1704,64.5,935,840,916,22.21
F,27,1604,57.6,877,763,922,22.39
F,20,1613,62.7,924,750,1000,24.1
M,16,1767,70.1,840,770,970,22.45
M,19,1678,57.7,835,715,885,20.49
F,51,1475,56.1,914,760,964,25.79
M,35,1713,74.7,895,888,967,25.46
M,18,1790,65.2,815,735,913,20.35
M,39,1637,71.2,941,891,948,26.57
F,16,1620,57.1,831,671,945,21.76
F,38,1589,51.2,782,715,915,20.28
M,18,1750,55.0,794,660,881,17.96
F,38,1565,55.8,870,743,940,22.78
F,26,1655,54.7,800,700,907,19.97
F,20,1580,55.2,891,751,900,22.11
F,38,1593,70.0,951,930,990,27.58
F,62,1464,68.4,1065,1015,970,31.91
F,17,1554,61.0,921,854,965,25.26
M,41,1760,90.1,1026,985,1030,29.09
F,18,1636,44.4,732,600,845,16.59
F,18,1626,52.9,842,665,881,20.01
F,16,1564,45.2,770,627,851,18.48
M,18,1751,74.4,936,864,990,24.27
F,19,1587,53.7,782,794,925,21.32
M,37,1756,85.6,1026,938,1010,27.76
M,19,1681,74.3,917,852,1014,26.29
M,69,1585,63.2,930,881,925,25.16
F,34,1684,59.8,885,726,925,21.09
F,16,1610,44.8,735,645,850,17.28
M,17,1791,67.4,867,738,917,21.01
F,30,1519,89.6,1146,1187,1192,38.83
F,16,1518,40.2,720,592,823,17.45
F,17,1655,53.6,784,690,929,19.57
M,47,1782,91.8,1068,952,1040,28.91
M,30,1671,73.5,969,842,967,26.32
M,34,1674,68.2,923,859,944,24.34
F,16,1583,54.8,822,665,936,21.87
F,20,1560,44.8,671,651,842,18.41
F,22,1766,74.9,972,799,1015,24.02
M,60,1682,78.6,977,955,1000,27.78
F,40,1568,60.2,964,806,937,24.49
F,18,1603,57.4,822,682,950,22.34
F,31,1531,61.0,912,813,972,26.02
M,67,1656,74.6,984,951,960,27.2
F,34,1510,47.9,832,733,850,21.01
M,16,1775,108.6,1096,995,1150,34.47
F,21,1555,50.9,830,693,901,21.05
M,19,1733,68.0,926,760,922,22.64
M,34,1710,78.2,977,897,971,26.74
F,23,1570,59.5,911,766,937,24.14
M,37,1662,68.5,1000,825,890,24.8
F,18,1516,47.5,786,699,862,20.67
M,55,1616,67.8,933,870,953,25.96
F,20,1556,53.0,815,725,944,21.89
M,19,1765,68.3,842,770,895,21.92
F,47,1648,50.6,812,676,870,18.63
M,19,1744,68.9,920,740,942,22.65
M,23,1714,70.3,894,835,977,23.93
F,45,1547,47.8,785,628,892,19.97
F,29,1606,55.4,851,728,937,21.48
M,17,1635,49.9,765,660,846,18.67
F,54,1651,69.2,980,841,950,25.39
F,69,1609,62.4,984,885,938,24.1
M,39,1729,85.5,965,934,1034,28.6
F,19,1681,90.8,1070,880,1140,32.13
F,56,1576,64.8,979,871,915,26.09
F,18,1570,54.7,865,715,934,22.19
M,58,1653,68.5,920,895,910,25.07
F,20,1561,45.0,775,675,872,18.47
M,23,1860,79.3,974,786,957,22.92
M,19,1760,82.1,948,885,1064,26.5
F,33,1562,54.3,855,734,925,22.26
F,22,1558,57.9,848,741,962,23.85
F,38,1628,45.3,772,690,851,17.09
M,25,1750,72.7,901,971,820,23.74
M,27,1710,67.4,891,755,955,23.05
F,57,1606,73.8,1040,986,985,28.61
M,40,1699,76.4,941,892,965,26.47
F,28,1657,93.9,1125,1051,1075,34.2
F,41,1725,61.4,857,800,934,20.63
M,34,1785,70.9,940,766,955,22.25
F,26,1630,55.1,886,771,934,20.74
M,19,1665,64.3,874,765,921,23.19
F,67,1500,53.3,942,760,895,23.69
M,30,1729,65.1,891,785,945,21.78
M,41,1686,80.0,1017,900,990,28.14
F,34,1611,52.0,811,731,904,20.04
F,25,1581,50.2,838,692,882,20.08
M,24,1820,83.0,1002,860,1016,25.06
M,17,1735,61.2,900,730,915,20.33
F,20,1565,48.0,830,740,871,19.6
F,23,1603,52.2,824,661,884,20.31
F,38,1575,61.0,915,865,975,24.59
F,52,1562,48.3,845,720,835,19.8
M,44,1676,65.2,908,835,890,23.21
M,17,1840,63.8,831,695,900,18.84
F,17,1655,61.3,910,720,951,22.38
F,32,1580,52.9,865,761,874,21.19
M,19,1691,71.8,934,810,965,25.11
F,19,1660,65.9,847,692,990,23.91
M,29,1760,70.9,905,826,980,22.89
F,23,1590,48.1,835,655,885,19.03
M,57,1709,72.4,973,910,946,24.79
M,39,1805,87.3,1050,911,975,26.8
F,26,1590,47.2,753,682,852,18.67
M,31,1751,88.0,1037,902,1030,28.7
F,68,1480,59.3,931,894,967,27.07
M,17,1724,58.9,810,697,909,19.82
M,36,1704,73.2,951,876,970,25.21
F,25,1656,52.9,820,755,885,19.29
M,47,1676,68.2,895,841,909,24.28
M,34,1768,60.9,865,780,880,19.48
F,35,1590,57.5,884,748,914,22.74
M,56,1640,73.1,980,975,963,27.18
F,43,1598,62.8,958,838,948,24.59
F,38,1605,59.8,921,845,930,23.21
F,33,1598,47.2,758,632,872,18.48
F,41,1622,48.6,758,655,903,18.47
M,26,1672,71.7,925,854,943,25.65
F,50,1582,60.7,925,843,970,24.25
M,42,1783,80.7,1069,885,971,25.38
F,16,1620,64.7,880,805,950,24.65
M,39,1712,75.2,966,879,966,25.66
M,31,1683,78.9,980,863,1025,27.86
M,34,1766,79.5,953,882,992,25.49
F,19,1634,50.2,779,688,902,18.8
F,21,1589,43.7,765,655,840,17.31
M,41,1671,57.8,845,780,882,20.7
M,64,1643,56.4,855,719,845,20.89
F,18,1570,56.6,795,660,942,22.96
M,24,1664,66.8,914,836,955,24.13
F,17,1630,55.9,834,690,905,21.04
F,34,1610,56.8,875,745,940,21.91
F,16,1638,50.8,730,637,895,18.93
M,37,1716,76.6,944,860,972,26.01
M,55,1693,71.8,954,898,960,25.05
F,27,1628,61.6,892,831,1009,23.24
F,35,1645,60.7,883,822,981,22.43
M,24,1824,82.6,946,899,1016,24.83
M,49,1680,67.0,891,818,929,23.74
F,22,1523,46.1,782,600,880,19.87
M,44,1627,91.3,1134,1058,1076,34.49
M,20,1734,63.8,900,717,920,21.22
M,17,1633,70.7,916,870,965,26.51
M,19,1770,61.6,805,710,906,19.66
F,39,1572,58.8,932,841,945,23.79
M,44,1713,78.2,972,910,1005,26.65
F,16,1726,57.9,835,720,941,19.44
M,34,1750,79.5,914,850,1031,25.96
M,40,1661,62.7,887,786,884,22.73
F,59,1555,57.5,952,811,954,23.78
F,16,1610,56.2,880,770,920,21.68
M,69,1612,69.9,1012,896,905,26.9
M,25,1671,59.0,825,692,902,21.13
F,61,1542,68.9,1001,925,1015,28.98
F,19,1618,65.5,904,760,960,25.02
M,19,1708,57.0,824,740,853,19.54
F,18,1566,57.5,921,768,916,23.45
M,24,1715,71.9,985,842,921,24.45
M,28,1777,77.6,935,860,994,24.57
M,38,1848,98.3,1105,963,1020,28.78
F,23,1585,58.3,854,730,966,23.21
F,34,1580,58.5,880,756,935,23.43
F,34,1515,53.5,852,745,920,23.31
M,67,1566,74.7,975,1006,990,30.46
F,45,1525,52.3,910,785,865,22.49
M,48,1633,68.2,924,886,915,25.57
F,16,1630,47.8,733,634,864,17.99
M,23,1730,77.3,962,875,999,25.83
F,57,1473,46.7,816,680,870,21.52
M,37,1702,71.9,912,832,955,24.82
F,16,1609,80.7,1032,905,1082,31.17
M,28,1778,94.9,1070,955,1075,30.02
M,54,1754,75.6,984,887,904,24.57
M,17,1757,57.3,808,695,878,18.56
M,18,1788,80.3,972,875,1029,25.12
F,56,1665,65.4,985,890,899,23.59
M,31,1715,62.7,847,739,920,21.32
M,55,1594,64.0,974,883,909,25.19
M,38,1758,71.3,960,802,940,23.07
M,26,1625,58.6,835,750,897,22.19
F,30,1685,62.3,902,799,985,21.94
M,19,1695,66.0,848,730,951,22.97
M,60,1594,75.4,984,1001,956,29.68
M,35,1771,80.1,955,896,1023,25.54
F,18,1480,56.3,872,794,962,25.7
F,44,1595,57.2,885,732,945,22.48
F,20,1677,62.5,907,780,945,22.22
F,22,1659,60.2,835,710,970,21.87
F,38,1580,52.9,805,720,933,21.19
F,25,1604,53.7,825,664,922,20.87
M,29,1724,87.1,1021,940,1031,29.31
M,18,1808,62.6,895,695,880,19.15
M,17,1755,60.8,805,705,915,19.74
F,58,1541,78.5,1047,1065,1050,33.06
M,33,1794,84.5,1071,962,1005,26.25
F,34,1620,65.1,895,862,985,24.81
M,19,1661,70.8,945,765,918,25.66
F,33,1570,57.9,865,775,937,23.49
F,54,1610,58.0,925,777,921,22.38
M,18,1774,84.0,988,925,995,26.69
M,20,1783,73.8,920,803,952,23.21
F,17,1583,44.7,704,630,862,17.84
F,37,1662,76.6,1027,909,1018,27.73
F,20,1602,54.6,791,695,935,21.27
F,57,1531,54.9,934,823,885,23.42
M,31,1843,62.8,844,703,896,18.49
M,45,1628,73.8,979,898,956,27.85
M,18,1820,60.4,838,676,866,18.23
F,19,1581,59.7,867,741,950,23.88
F,49,1525,65.3,1005,880,1025,28.08
M,51,1665,61.8,900,750,907,22.29
M,19,1637,49.8,757,698,848,18.58
F,26,1535,49.9,816,715,860,21.18
M,18,1734,95.4,1118,1014,1103,31.73
F,41,1625,53.8,831,734,919,20.37
F,69,1527,51.0,905,847,870,21.87
F,16,1517,47.8,785,631,890,20.77
M,62,1354,50.1,961,944,825,27.33
M,18,1844,73.6,873,780,996,21.64
M,18,1787,59.4,840,676,900,18.6
F,25,1554,49.3,740,623,892,20.41
M,17,1734,63.9,848,720,895,21.25
F,16,1644,47.2,748,605,876,17.46
F,25,1596,47.3,765,648,882,18.57
M,25,1670,67.0,930,830,926,24.02
F,56,1488,45.7,871,754,845,20.64
M,18,1745,74.5,950,840,971,24.47
F,69,1503,49.3,855,804,891,21.82
F,68,1474,57.4,966,925,944,26.42
F,46,1557,55.9,860,730,969,23.06
F,17,1581,69.3,974,851,1006,27.72
M,17,1695,57.1,801,665,855,19.87
F,44,1626,49.0,785,674,910,18.53
F,65,1489,59.8,1035,881,932,26.97
M,24,1817,99.9,1062,950,1110,30.26
F,31,1680,57.0,855,751,934,20.2
M,25,1702,71.2,878,846,1003,24.58
F,46,1540,57.5,921,855,934,24.25
M,26,1713,66.1,945,747,950,22.53
M,18,1713,70.7,954,760,960,24.09
F,18,1583,56.5,864,740,955,22.55
M,22,1774,67.2,911,765,942,21.35
F,17,1613,50.2,837,634,906,19.29
F,54,1540,62.3,951,845,958,26.27
M,28,1760,80.6,1014,900,996,26.02
F,17,1585,49.2,792,650,873,19.58
M,22,1695,58.0,893,704,870,20.19
M,29,1817,102.6,1070,1000,1086,31.08
M,42,1734,87.9,1135,968,1016,29.23
M,19,1780,86.7,1032,879,1039,27.36
M,63,1682,78.0,975,977,958,27.57
F,34,1543,54.4,891,815,944,22.85
M,20,1683,78.7,990,926,1026,27.78
M,16,1755,74.3,950,825,985,24.12
M,16,1705,60.7,872,709,847,20.88
M,16,1704,62.7,815,715,902,21.59
M,47,1751,76.8,980,902,965,25.05
M,19,1602,52.9,790,700,857,20.61
M,43,1533,51.1,843,761,866,21.74
F,17,1563,46.3,785,605,880,18.95
