gender,age,height,weight,bust_circumference,waist_circumference,hip_circumference
F,38,1610,49.5,790,659,870
F,64,1591,66.0,982,941,935
M,23,1758,74.3,970,895,987
M,42,1792,77.0,930,862,963
M,16,1741,64.8,843,704,950
F,30,1604,62.3,945,792,987
M,38,1785,84.0,1005,871,996
F,45,1590,67.0,968,865,990
M,28,1864,99.9,1035,935,1132
F,51,1515,55.5,884,790,945
M,23,1815,60.4,837,720,850
M,33,1794,88.6,1040,925,1020
M,16,1641,58.3,767,720,900
M,37,1715,81.1,1004,886,1013
F,40,1646,59.2,811,740,951
F,18,1590,45.5,781,630,861
F,44,1540,57.1,908,820,930
F,34,1601,56.8,874,708,940
F,29,1715,62.8,912,735,957
F,18,1686,61.3,891,790,961
F,18,1661,61.0,870,700,970
M,32,1759,82.5,1008,916,1005
F,44,1585,67.3,925,826,1005
F,33,1565,64.4,945,855,964
F,54,1495,49.7,850,770,871
M,39,1628,67.4,902,853,944
M,18,1734,69.5,879,786,926
M,16,1723,76.8,912,824,1006
F,34,1597,57.0,889,768,904
M,63,1610,59.4,918,779,854
M,22,1717,80.7,975,855,1032
F,20,1515,46.0,756,645,880
F,16,1585,48.4,770,634,876
F,27,1628,58.3,865,745,934
M,52,1675,78.7,1002,954,955
M,61,1688,76.1,981,932,942
F,56,1568,58.2,868,750,973
M,62,1646,70.0,960,906,947
M,35,1779,80.4,1032,852,972
F,66,1562,60.9,915,814,982
F,18,1665,55.7,799,700,940
M,33,1717,66.5,906,765,930
F,28,1616,48.0,804,651,881
F,26,1600,58.9,905,815,955
M,63,1702,84.9,1065,1003,998
M,35,1815,50.6,1055,930,1046
M,17,1651,47.6,775,640,848
F,61,1595,69.6,950,880,1012
M,53,1605,45.2,782,685,806
F,68,1515,72.8,1034,1000,1000
F,42,1620,88.2,1054,975,1081
F,47,1592,60.0,945,821,920
M,20,1757,69.1,870,740,940
M,16,1785,64.9,865,704,926
F,47,1588,63.5,967,875,925
M,19,1735,76.4,885,833,990
M,39,1717,71.1,938,864,940
F,18,1602,58.3,921,711,926
M,17,1684,81.4,957,813,1069
M,22,1752,84.5,998,852,1024
M,16,1788,63.3,810,705,925
M,17,1660,71.1,915,820,950
F,20,1686,54.2,788,710,941
M,39,1813,75.7,915,790,986
M,54,1625,63.8,893,790,920
F,22,1551,49.4,811,661,891
M,36,1753,75.4,921,856,949
F,60,1515,57.9,979,812,904
F,52,1525,56.0,936,841,891
F,32,1570,57.5,864,711,1020
M,22,1630,60.3,852,754,940
F,49,1545,46.0,775,655,871
F,18,1560,62.6,941,810,935
F,34,1717,83.0,932,877,1122
F,58,1525,50.1,881,795,855
F,16,1601,61.9,954,756,950
M,24,1804,78.7,990,881,975
F,24,1642,54.0,825,660,911
F,63,1550,61.2,983,860,950
M,17,1840,73.2,880,760,960
M,32,1785,65.5,875,717,932
M,16,1793,63.0,804,708,914
F,16,1653,61.3,838,727,985
M,26,1624,85.3,997,976,1033
M,37,1711,66.8,919,771,930
F,19,1625,54.6,825,664,954
F,47,1555,59.9,911,808,930
M,33,1685,61.3,883,727,890
F,37,1616,49.0,860,640,871
M,25,1773,75.3,1010,800,940
F,16,1582,52.4,850,705,922
F,22,1585,55.1,831,714,925
F,16,1468,62.5,936,862,981
F,17,1555,53.5,873,712,966
M,16,1627,51.0,788,668,880
F,25,1570,54.8,885,750,927
F,38,1560,56.7,869,730,940
F,29,1583,47.6,765,630,863
F,51,1583,57.0,895,784,945
F,36,1570,58.4,902,802,891
M,30,1720,70.7,904,807,985
F,55,1447,56.6,953,915,929
M,38,1682,83.1,1020,964,991
F,17,1558,49.7,823,643,875
F,18,1575,65.9,944,877,1010
M,28,1732,77.1,954,825,990
F,31,1593,54.7,855,720,915
M,25,1683,71.7,942,844,976
M,20,1732,66.3,850,745,930
F,20,1620,47.3,746,668,856
F,44,1593,61.2,915,815,993
M,20,1693,70.0,905,778,966
F,25,1584,45.8,756,651,888
M,32,1805,92.2,1040,981,1030
M,22,1744,65.3,875,752,935
F,46,1568,50.1,828,714,880
M,42,1769,77.7,943,780,995
F,31,1648,63.9,959,832,992
M,29,1735,60.3,920,753,876
F,57,1545,58.8,904,832,942
M,62,1604,69.2,980,895,950
M,26,1685,71.3,916,782,947
F,44,1658,53.1,816,688,885
M,18,1717,68.5,906,754,916
M,43,1620,60.8,895,760,905
M,16,1768,61.3,820,685,900
F,33,1619,49.3,798,644,900
M,36,1689,82.4,1037,951,974
F,17,1662,65.8,952,725,980
M,23,1725,67.4,942,797,930
F,27,1541,49.1,800,673,920
F,38,1650,53.8,813,700,890
F,47,1573,53.2,890,735,902
F,27,1685,62.2,821,730,975
F,62,1544,56.3,942,880,943
M,38,1758,70.9,915,801,937
F,27,1584,52.7,812,722,960
M,20,1730,59.5,843,691,910
F,18,1561,56.0,861,749,945
M,23,1827,81.0,980,793,985
F,28,1636,66.8,855,775,1040
F,30,1628,45.3,766,644,851
F,18,1520,48.2,796,642,898
M,27,1770,74.1,967,786,973
M,24,1760,79.6,1002,821,1002
M,18,1907,88.7,952,830,1045
F,17,1606,56.7,826,721,940
F,34,1549,53.5,825,750,960
M,21,1724,61.3,890,720,874
M,16,1721,60.1,865,700,910
M,38,1735,54.3,793,715,823
F,22,1665,63.9,935,820,950
F,59,1581,59.4,890,825,962
F,17,1639,51.8,796,651,886
M,38,1624,55.1,848,714,878
F,28,1560,50.5,837,705,901
F,23,1605,54.4,833,719,933
F,36,1629,72.5,940,821,1051
F,53,1533,47.0,833,733,845
M,30,1610,64.0,885,778,931
F,47,1637,78.5,1076,935,1001
M,21,1824,65.8,880,740,915
M,34,1675,71.3,935,861,941
F,18,1560,55.8,890,690,933
F,18,1699,71.6,895,831,1005
F,23,1512,44.5,770,620,824
M,16,1675,59.4,842,715,881
M,22,1799,63.6,884,685,905
M,32,1756,81.5,1054,861,995
F,17,1551,61.7,941,840,999
F,17,1601,55.2,880,723,916
M,16,1653,59.3,884,706,900
M,37,1633,57.7,900,749,842
F,20,1655,48.1,814,671,845
M,28,1688,66.5,895,844,956
M,25,1700,67.2,876,813,955
F,16,1643,51.5,795,643,896
F,65,1478,60.8,984,910,925
M,28,1655,71.9,927,884,988
M,32,1798,79.7,943,758,976
F,48,1492,51.0,814,735,930
F,27,1612,54.2,814,725,932
F,34,1574,69.6,915,905,1059
F,21,1555,56.3,860,740,972
F,23,1627,58.8,860,720,1002
F,20,1614,42.3,735,635,815
F,16,1687,57.1,800,670,905
F,36,1675,59.9,903,755,930
F,43,1669,85.6,1090,985,1053
M,17,1752,71.6,920,780,975
F,17,1538,56.2,935,775,925
M,23,1790,88.2,1008,920,1062
M,20,1606,75.2,969,934,1051
M,27,1734,76.9,1012,825,978
M,23,1793,64.3,858,763,911
F,27,1600,83.4,1154,1053,1001
M,64,1560,58.1,913,821,883
M,47,1691,70.3,930,842,950
F,38,1593,50.0,783,676,916
M,17,1733,75.7,934,805,946
F,27,1540,58.4,926,751,962
F,26,1597,61.2,872,760,963
M,19,1724,59.4,842,748,902
F,36,1646,55.4,853,673,912
F,32,1647,49.5,766,632,875
F,17,1507,43.5,765,610,850
M,30,1825,91.7,1024,859,1028
F,34,1608,48.0,765,621,884
M,18,1675,73.5,924,773,990
M,18,1753,60.6,802,684,840
M,16,1561,62.7,923,841,916
F,46,1498,49.3,831,810,909
M,20,1703,86.2,1050,940,1040
F,21,1610,50.2,773,650,890
M,48,1658,75.8,972,913,972
F,39,1577,57.0,865,740,948
F,23,1555,41.6,735,600,791
M,19,1670,66.6,875,786,912
M,18,1660,52.7,793,657,846
F,34,1504,52.6,824,740,931
M,19,1711,53.0,800,700,842
F,35,1599,61.9,887,796,930
F,57,1403,53.2,941,864,870
F,16,1600,55.1,882,667,915
F,39,1672,68.5,965,900,964
M,19,1770,61.5,880,693,907
M,17,1815,62.8,827,690,895
F,36,1554,49.0,800,725,855
M,16,1715,65.1,845,735,927
F,36,1532,52.7,885,767,895
M,16,1677,50.4,800,685,838
F,57,1496,75.1,1067,1031,1071
F,33,1600,55.6,865,735,905
F,36,1705,61.5,857,720,928
F,53,1505,54.0,852,805,923
F,16,1575,51.0,801,645,901
F,28,1704,88.2,1065,980,1057
M,19,1650,53.3,815,681,850
M,16,1706,58.4,800,705,911
M,17,1784,77.7,972,820,996
F,44,1700,75.4,1021,881,1000
F,26,1645,54.5,825,692,925
F,17,1496,48.8,802,685,907
M,63,1704,64.5,935,840,916
F,27,1604,57.6,877,763,922
F,20,1613,62.7,924,750,1000
M,16,1767,70.1,840,770,970
M,19,1678,57.7,835,715,885
F,51,1475,56.1,914,760,964
M,35,1713,74.7,895,888,967
M,18,1790,65.2,815,735,913
M,39,1637,71.2,941,891,948
F,16,1620,57.1,831,671,945
F,38,1589,51.2,782,715,915
M,18,1750,55.0,794,660,881
F,38,1565,55.8,870,743,940
F,26,1655,54.7,800,700,907
F,20,1580,55.2,891,751,900
F,38,1593,70.0,951,930,990
F,62,1464,68.4,1065,1015,970
F,17,1554,61.0,921,854,965
M,41,1760,90.1,1026,985,1030
F,18,1636,44.4,732,600,845
F,18,1626,52.9,842,665,881
F,16,1564,45.2,770,627,851
M,18,1751,74.4,936,864,990
F,19,1587,53.7,782,794,925
M,37,1756,85.6,1026,938,1010
M,19,1681,74.3,917,852,1014
M,69,1585,63.2,930,881,925
F,34,1684,59.8,885,726,925
F,16,1610,44.8,735,645,850
M,17,1791,67.4,867,738,917
F,30,1519,89.6,1146,1187,1192
F,16,1518,40.2,720,592,823
F,17,1655,53.6,784,690,929
M,47,1782,91.8,1068,952,1040
M,30,1671,73.5,969,842,967
M,34,1674,68.2,923,859,944
F,16,1583,54.8,822,665,936
F,20,1560,44.8,671,651,842
F,22,1766,74.9,972,799,1015
M,60,1682,78.6,977,955,1000
F,40,1568,60.2,964,806,937
F,18,1603,57.4,822,682,950
F,31,1531,61.0,912,813,972
M,67,1656,74.6,984,951,960
F,34,1510,47.9,832,733,850
M,16,1775,108.6,1096,995,1150
F,21,1555,50.9,830,693,901
M,19,1733,68.0,926,760,922
M,34,1710,78.2,977,897,971
F,23,1570,59.5,911,766,937
M,37,1662,68.5,1000,825,890
F,18,1516,47.5,786,699,862
M,55,1616,67.8,933,870,953
F,20,1556,53.0,815,725,944
M,19,1765,68.3,842,770,895
F,47,1648,50.6,812,676,870
M,19,1744,68.9,920,740,942
M,23,1714,70.3,894,835,977
F,45,1547,47.8,785,628,892
F,29,1606,55.4,851,728,937
M,17,1635,49.9,765,660,846
F,54,1651,69.2,980,841,950
F,69,1609,62.4,984,885,938
M,39,1729,85.5,965,934,1034
F,19,1681,90.8,1070,880,1140
F,56,1576,64.8,979,871,915
F,18,1570,54.7,865,715,934
M,58,1653,68.5,920,895,910
F,20,1561,45.0,775,675,872
M,23,1860,79.3,974,786,957
M,19,1760,82.1,948,885,1064
F,33,1562,54.3,855,734,925
F,22,1558,57.9,848,741,962
F,38,1628,45.3,772,690,851
M,25,1750,72.7,901,971,820
M,27,1710,67.4,891,755,955
F,57,1606,73.8,1040,986,985
M,40,1699,76.4,941,892,965
F,28,1657,93.9,1125,1051,1075
F,41,1725,61.4,857,800,934
M,34,1785,70.9,940,766,955
F,26,1630,55.1,886,771,934
M,19,1665,64.3,874,765,921
F,67,1500,53.3,942,760,895
M,30,1729,65.1,891,785,945
M,41,1686,80.0,1017,900,990
F,34,1611,52.0,811,731,904
F,25,1581,50.2,838,692,882
M,24,1820,83.0,1002,860,1016
M,17,1735,61.2,900,730,915
F,20,1565,48.0,830,740,871
F,23,1603,52.2,824,661,884
F,38,1575,61.0,915,865,975
F,52,1562,48.3,845,720,835
M,44,1676,65.2,908,835,890
M,17,1840,63.8,831,695,900
F,17,1655,61.3,910,720,951
F,32,1580,52.9,865,761,874
M,19,1691,71.8,934,810,965
F,19,1660,65.9,847,692,990
M,29,1760,70.9,905,826,980
F,23,1590,48.1,835,655,885
M,57,1709,72.4,973,910,946
M,39,1805,87.3,1050,911,975
F,26,1590,47.2,753,682,852
M,31,1751,88.0,1037,902,1030
F,68,1480,59.3,931,894,967
M,17,1724,58.9,810,697,909
M,36,1704,73.2,951,876,970
F,25,1656,52.9,820,755,885
M,47,1676,68.2,895,841,909
M,34,1768,60.9,865,780,880
F,35,1590,57.5,884,748,914
M,56,1640,73.1,980,975,963
F,43,1598,62.8,958,838,948
F,38,1605,59.8,921,845,930
F,33,1598,47.2,758,632,872
F,41,1622,48.6,758,655,903
M,26,1672,71.7,925,854,943
F,50,1582,60.7,925,843,970
M,42,1783,80.7,1069,885,971
F,16,1620,64.7,880,805,950
M,39,1712,75.2,966,879,966
M,31,1683,78.9,980,863,1025
M,34,1766,79.5,953,882,992
F,19,1634,50.2,779,688,902
F,21,1589,43.7,765,655,840
M,41,1671,57.8,845,780,882
M,64,1643,56.4,855,719,845
F,18,1570,56.6,795,660,942
M,24,1664,66.8,914,836,955
F,17,1630,55.9,834,690,905
F,34,1610,56.8,875,745,940
F,16,1638,50.8,730,637,895
M,37,1716,76.6,944,860,972
M,55,1693,71.8,954,898,960
F,27,1628,61.6,892,831,1009
F,35,1645,60.7,883,822,981
M,24,1824,82.6,946,899,1016
M,49,1680,67.0,891,818,929
F,22,1523,46.1,782,600,880
M,44,1627,91.3,1134,1058,1076
M,20,1734,63.8,900,717,920
M,17,1633,70.7,916,870,965
M,19,1770,61.6,805,710,906
F,39,1572,58.8,932,841,945
M,44,1713,78.2,972,910,1005
F,16,1726,57.9,835,720,941
M,34,1750,79.5,914,850,1031
M,40,1661,62.7,887,786,884
F,59,1555,57.5,952,811,954
F,16,1610,56.2,880,770,920
M,69,1612,69.9,1012,896,905
M,25,1671,59.0,825,692,902
F,61,1542,68.9,1001,925,1015
F,19,1618,65.5,904,760,960
M,19,1708,57.0,824,740,853
F,18,1566,57.5,921,768,916
M,24,1715,71.9,985,842,921
M,28,1777,77.6,935,860,994
M,38,1848,98.3,1105,963,1020
F,23,1585,58.3,854,730,966
F,34,1580,58.5,880,756,935
F,34,1515,53.5,852,745,920
M,67,1566,74.7,975,1006,990
F,45,1525,52.3,910,785,865
M,48,1633,68.2,924,886,915
F,16,1630,47.8,733,634,864
M,23,1730,77.3,962,875,999
F,57,1473,46.7,816,680,870
M,37,1702,71.9,912,832,955
F,16,1609,80.7,1032,905,1082
M,28,1778,94.9,1070,955,1075
M,54,1754,75.6,984,887,904
M,17,1757,57.3,808,695,878
M,18,1788,80.3,972,875,1029
F,56,1665,65.4,985,890,899
M,31,1715,62.7,847,739,920
M,55,1594,64.0,974,883,909
M,38,1758,71.3,960,802,940
M,26,1625,58.6,835,750,897
F,30,1685,62.3,902,799,985
M,19,1695,66.0,848,730,951
M,60,1594,75.4,984,1001,956
M,35,1771,80.1,955,896,1023
F,18,1480,56.3,872,794,962
F,44,1595,57.2,885,732,945
F,20,1677,62.5,907,780,945
F,22,1659,60.2,835,710,970
F,38,1580,52.9,805,720,933
F,25,1604,53.7,825,664,922
M,29,1724,87.1,1021,940,1031
M,18,1808,62.6,895,695,880
M,17,1755,60.8,805,705,915
F,58,1541,78.5,1047,1065,1050
M,33,1794,84.5,1071,962,1005
F,34,1620,65.1,895,862,985
M,19,1661,70.8,945,765,918
F,33,1570,57.9,865,775,937
F,54,1610,58.0,925,777,921
M,18,1774,84.0,988,925,995
M,20,1783,73.8,920,803,952
F,17,1583,44.7,704,630,862
F,37,1662,76.6,1027,909,1018
F,20,1602,54.6,791,695,935
F,57,1531,54.9,934,823,885
M,31,1843,62.8,844,703,896
M,45,1628,73.8,979,898,956
M,18,1820,60.4,838,676,866
F,19,1581,59.7,867,741,950
F,49,1525,65.3,1005,880,1025
M,51,1665,61.8,900,750,907
M,19,1637,49.8,757,698,848
F,26,1535,49.9,816,715,860
M,18,1734,95.4,1118,1014,1103
F,41,1625,53.8,831,734,919
F,69,1527,51.0,905,847,870
F,16,1517,47.8,785,631,890
M,62,1354,50.1,961,944,825
M,18,1844,73.6,873,780,996
M,18,1787,59.4,840,676,900
F,25,1554,49.3,740,623,892
M,17,1734,63.9,848,720,895
F,16,1644,47.2,748,605,876
F,25,1596,47.3,765,648,882
M,25,1670,67.0,930,830,926
F,56,1488,45.7,871,754,845
M,18,1745,74.5,950,840,971
F,69,1503,49.3,855,804,891
F,68,1474,57.4,966,925,944
F,46,1557,55.9,860,730,969
F,17,1581,69.3,974,851,1006
M,17,1695,57.1,801,665,855
F,44,1626,49.0,785,674,910
F,65,1489,59.8,1035,881,932
M,24,1817,99.9,1062,950,1110
F,31,1680,57.0,855,751,934
M,25,1702,71.2,878,846,1003
F,46,1540,57.5,921,855,934
M,26,1713,66.1,945,747,950
M,18,1713,70.7,954,760,960
F,18,1583,56.5,864,740,955
M,22,1774,67.2,911,765,942
F,17,1613,50.2,837,634,906
F,54,1540,62.3,951,845,958
M,28,1760,80.6,1014,900,996
F,17,1585,49.2,792,650,873
M,22,1695,58.0,893,704,870
M,29,1817,102.6,1070,1000,1086
M,42,1734,87.9,1135,968,1016
M,19,1780,86.7,1032,879,1039
M,63,1682,78.0,975,977,958
F,34,1543,54.4,891,815,944
M,20,1683,78.7,990,926,1026
M,16,1755,74.3,950,825,985
M,16,1705,60.7,872,709,847
M,16,1704,62.7,815,715,902
M,47,1751,76.8,980,902,965
M,19,1602,52.9,790,700,857
M,43,1533,51.1,843,761,866
F,17,1563,46.3,785,605,880
M,48,1702,73.0,1026,886,963
M,19,1782,82.2,947,855,1018
F,18,1512,51.5,755,677,945
M,29,1753,60.2,863,731,884
M,17,1775,83.5,961,912,1016
F,21,1627,53.5,810,695,926
F,46,1574,57.1,902,843,918
M,47,1825,89.2,1016,957,1012
M,25,1820,75.9,980,764,975
M,23,1758,87.7,1038,950,1060
F,60,1580,61.9,939,820,986
F,19,1575,47.1,755,636,887
M,35,1714,77.5,954,865,960
F,32,1634,51.3,833,689,890
M,43,1711,59.5,825,745,879
F,21,1625,45.8,765,628,840
M,26,1764,102.9,1112,1037,1126
F,20,1623,63.4,871,761,984
F,25,1584,43.3,755,585,845
M,16,1707,54.6,780,704,873
F,20,1570,43.1,760,661,842
F,45,1642,73.2,1028,890,1003
F,53,1507,47.4,845,707,855
F,35,1479,53.3,956,806,935
M,24,1765,67.4,875,765,940
F,51,1569,63.3,955,825,961
F,17,1650,83.1,1080,891,1055
M,18,1823,57.8,806,671,900
M,18,1688,57.0,816,671,905
F,57,1571,56.8,887,766,925
M,21,1644,70.0,915,830,977
F,54,1528,48.2,865,705,901
F,16,1670,58.4,896,692,954
F,67,1479,50.6,897,815,885
M,28,1735,78.7,925,893,1035
M,22,1635,60.2,905,750,890
M,17,1846,65.5,830,710,935
F,19,1590,54.3,895,720,900
F,43,1655,63.9,895,810,955
F,36,1634,68.0,961,821,990
M,16,1810,54.4,724,641,842
F,20,1633,57.2,866,716,969
F,34,1614,58.4,823,754,937
M,33,1715,75.5,945,831,972
M,23,1670,70.6,957,767,925
M,17,1623,45.2,718,626,801
M,30,1670,55.2,805,671,865
F,38,1590,57.0,869,770,929
F,67,1580,62.8,1035,930,913
M,50,1759,72.6,922,926,975
F,20,1706,59.6,790,699,982
M,18,1704,56.9,803,704,886
F,19,1655,66.2,970,825,1003
M,57,1568,63.1,944,903,911
M,22,1753,69.0,936,765,925
F,44,1600,58.7,960,781,905
F,64,1546,73.3,1030,980,1021
M,18,1699,62.2,840,750,901
F,19,1654,54.5,784,672,930
M,21,1745,57.0,843,698,875
F,39,1622,49.4,785,705,892
M,18,1741,75.3,917,820,983
F,25,1640,58.1,860,736,920
M,65,1708,59.7,893,794,860
M,28,1704,65.4,855,748,953
F,36,1556,61.2,862,764,983
M,40,1640,61.7,915,795,912
F,47,1598,68.7,1010,860,990
F,31,1583,55.5,869,814,927
F,34,1559,49.2,813,735,875
F,62,1580,58.6,935,866,891
M,19,1673,55.8,832,718,881
M,20,1872,71.5,894,725,918
F,30,1584,52.0,858,760,877
M,58,1620,61.1,954,852,864
F,16,1647,66.5,904,753,1008
F,55,1544,67.6,999,920,911
M,23,1736,61.5,868,710,895
M,41,1740,60.3,842,741,872
F,22,1682,61.6,831,730,960
F,37,1576,57.0,872,791,921
F,36,1563,47.6,765,645,854
F,19,1615,51.5,815,640,904
M,19,1671,65.4,850,756,943
M,18,1735,63.4,870,751,940
F,35,1580,55.7,875,780,910
M,31,1738,91.3,1100,990,1051
F,18,1574,55.0,872,709,904
F,52,1587,52.1,885,705,885
F,50,1585,65.7,986,906,956
F,38,1574,46.5,731,651,905
F,27,1601,49.4,780,682,900
F,37,1606,70.4,974,820,1040
F,49,1535,53.9,895,765,895
F,21,1635,62.1,920,738,965
M,19,1777,68.8,890,755,960
M,16,1751,68.1,875,771,961
M,16,1852,63.2,833,671,911
M,31,1729,54.2,814,660,870
F,53,1552,50.7,855,745,868
M,61,1761,75.7,955,893,936
F,17,1662,52.8,790,655,905
M,19,1709,70.1,964,816,945
M,32,1764,74.9,955,870,995
F,20,1538,53.0,813,685,941
F,19,1600,59.2,886,802,936
M,24,1814,68.1,915,745,925
M,20,1700,60.2,820,735,905
F,16,1590,52.6,803,685,921
F,38,1581,47.3,800,716,835
F,19,1571,50.6,772,702,926
F,25,1647,57.8,865,731,981
F,45,1563,56.2,879,701,937
F,41,1614,59.2,889,778,916
F,38,1605,50.1,770,675,882
F,67,1401,61.5,1073,955,980
M,69,1727,90.4,1039,1065,1030
M,16,1706,60.9,788,710,934
F,60,1490,72.5,1049,979,980
M,20,1739,101.3,1055,1050,1125
M,24,1661,77.4,1005,880,1011
M,48,1759,77.8,971,875,955
M,18,1649,69.0,910,845,960
F,18,1635,76.2,970,858,1053
F,23,1586,47.1,815,631,859
F,37,1624,68.8,950,878,998
M,25,1650,61.2,881,775,915
F,35,1670,56.6,808,710,908
F,17,1647,98.2,1159,1107,1125
M,19,1732,67.2,905,792,924
F,34,1599,56.5,858,735,935
M,60,1693,64.3,892,798,930
M,34,1732,75.3,967,848,972
F,20,1627,54.7,872,705,889
F,19,1518,43.6,782,650,854
M,31,1644,64.5,930,830,933
F,59,1519,57.0,893,790,961
M,25,1762,82.2,967,881,1027
M,40,1680,41.5,901,744,916
M,17,1627,59.4,869,752,910
M,20,1636,62.0,900,751,881
F,16,1611,48.4,760,660,850
M,23,1731,74.7,925,845,967
M,24,1720,65.9,850,768,950
M,38,1806,80.3,940,878,972
M,40,1748,92.8,1087,992,1053
F,21,1614,48.7,778,640,890
M,34,1718,79.9,982,895,1004
F,21,1562,70.0,995,890,1005
F,30,1634,53.3,832,724,900
M,26,1703,73.4,940,830,989
F,59,1510,56.4,890,841,914
F,41,1689,55.6,780,720,935
M,25,1755,73.0,930,820,970
F,29,1527,55.3,875,695,950
M,33,1757,65.1,940,712,925
M,50,1733,71.4,941,860,930
M,18,1720,53.8,812,709,870
F,56,1555,53.3,877,752,889
F,17,1560,53.6,850,741,927
M,22,1724,68.2,910,728,930
F,19,1681,95.1,1085,1020,1175
F,35,1628,51.3,760,653,885
F,18,1475,61.3,958,845,1001
F,21,1744,52.8,770,640,870
F,19,1589,54.1,875,690,931
F,25,1562,44.8,758,600,885
F,28,1570,46.4,772,634,892
F,20,1629,48.3,798,650,866
M,37,1704,61.4,873,768,860
F,35,1630,52.6,836,720,915
F,21,1520,60.9,875,791,1022
M,43,1660,56.2,852,741,867
F,25,1622,61.7,910,780,935
M,20,1781,66.4,848,715,918
M,20,1739,75.3,950,860,981
F,60,1507,66.4,1005,927,984
F,37,1669,66.1,865,800,975
F,20,1671,55.5,877,688,920
F,17,1592,45.7,790,610,862
F,20,1591,62.2,901,740,1000
M,62,1654,54.6,828,730,870
M,44,1671,96.2,1083,1036,1097
F,25,1620,43.8,746,611,872
M,36,1672,76.2,975,891,997
F,33,1572,56.0,876,821,923
F,26,1546,45.0,768,650,862
M,32,1672,63.3,898,792,880
M,37,1700,74.6,986,805,955
F,38,1580,51.4,820,675,931
M,37,1691,76.9,975,886,970
F,19,1716,50.3,755,626,880
F,19,1557,53.3,869,705,920
F,21,1560,44.7,798,665,835
F,17,1638,49.8,795,641,882
F,33,1626,69.0,945,770,990
M,30,1739,61.6,854,721,886
M,16,1746,65.0,845,722,950
M,34,1777,79.0,960,875,1021
F,29,1560,50.9,886,710,907
M,23,1704,64.4,845,710,920
F,32,1524,58.9,952,810,916
M,19,1730,57.7,851,695,857
F,34,1598,56.5,795,751,951
M,52,1707,62.5,901,819,876
M,48,1629,72.0,936,925,941
M,28,1768,65.2,850,762,918
M,16,1711,66.7,895,800,939
M,54,1715,49.6,845,690,819
M,16,1694,97.7,1022,1014,1130
F,59,1523,58.6,949,853,915
F,29,1629,61.6,944,790,957
F,17,1542,44.6,784,645,860
M,18,1609,79.8,950,930,1020
F,49,1560,65.4,965,871,965
M,63,1674,69.8,940,851,930
F,16,1545,50.3,792,674,924
F,55,1550,61.5,925,811,921
F,36,1625,60.6,860,770,932
M,48,1642,62.7,905,815,925
M,17,1745,61.4,855,735,905
M,35,1858,106.1,1133,1102,1090
F,53,1594,58.4,914,804,950
F,17,1604,59.2,895,751,991
F,24,1655,51.8,811,665,895
M,42,1699,75.6,941,932,967
F,29,1704,66.7,965,774,971
M,43,1662,65.6,935,835,885
M,32,1804,88.3,985,923,1056
F,35,1627,62.1,916,825,949
F,34,1621,56.8,853,776,907
M,19,1745,67.3,892,803,940
F,19,1617,50.4,800,661,860
F,19,1565,46.1,823,659,861
M,32,1749,94.1,1072,979,1071
F,49,1511,58.7,982,892,841
M,33,1734,83.6,998,948,1032
F,54,1625,63.5,887,781,950
M,19,1705,62.7,865,745,925
M,18,1703,57.3,817,690,894
M,16,1645,57.3,804,728,904
M,24,1769,64.9,843,719,896
M,20,1589,60.6,890,715,900
F,16,1544,50.7,829,694,847
F,33,1604,48.2,788,652,911
M,50,1740,66.7,890,780,923
F,33,1610,58.8,865,754,941
F,22,1665,59.7,845,745,975
M,54,1721,82.3,1034,908,1003
M,20,1710,71.9,885,851,1004
M,29,1734,78.8,1005,855,980
M,35,1749,69.6,940,757,955
M,32,1745,93.5,1050,940,1026
F,63,1582,57.5,905,785,921
F,33,1685,51.9,832,672,923
M,33,1723,81.1,953,865,961
F,45,1490,54.5,935,790,900
F,32,1645,52.9,821,660,896
F,16,1625,56.4,881,720,910
M,39,1695,72.2,925,863,959
F,16,1489,42.3,775,620,811
F,35,1527,48.5,820,716,896
F,16,1606,59.6,854,719,954
M,19,1720,60.5,836,690,905
F,60,1630,66.4,1033,893,983
M,21,1780,67.6,860,775,955
F,34,1710,56.6,820,750,940
F,42,1521,56.5,881,765,905
F,52,1599,61.7,948,860,931
M,19,1763,102.1,1074,1021,1091
M,43,1709,77.8,917,833,932
F,16,1532,42.3,765,672,880
M,45,1719,78.7,993,893,958
M,16,1626,55.8,831,755,895
F,31,1615,45.3,781,632,835
F,17,1640,66.0,926,789,974
F,17,1555,67.6,1011,874,965
M,17,1751,58.4,824,660,903
F,18,1721,60.5,861,680,965
M,16,1820,74.7,952,820,962
M,19,1730,53.4,761,677,841
M,20,1694,56.6,800,696,893
M,31,1713,76.4,965,851,985
M,45,1719,66.5,960,805,904
F,55,1735,82.2,1064,930,1072
F,18,1619,48.4,780,674,891
M,22,1840,59.7,829,716,874
F,33,1536,48.7,771,710,911
F,16,1566,57.1,855,711,950
F,34,1581,55.0,826,755,923
M,30,1750,65.4,877,735,915
M,16,1688,76.5,935,870,974
F,19,1660,78.6,1035,930,1070
F,18,1625,53.9,876,735,892
M,17,1735,57.7,815,680,902
M,18,1679,54.2,845,675,831
M,16,1649,50.5,781,644,859
M,26,1650,62.3,900,780,941
F,47,1574,41.8,850,757,892
M,38,1682,71.5,940,853,1001
F,19,1558,46.9,757,646,874
M,22,1706,51.2,834,643,837
M,32,1768,84.6,985,925,1013
M,19,1684,57.6,840,720,865
